apiVersions,capabilities,capacity,costs,family,kind,locationInfo,locations,InstanceType,resourceType,restrictions,size,tier,Region,Price,SpotPrice,AcceleratorName,AcceleratorCount,MemoryGiB,GpuInfo
,"[{'name': 'MaxResourceVolumeMB', 'value': '10240'}, {'name': 'OSVhdSizeMB', 'value': '1047552'}, {'name': 'vCPUs', 'value': '1'}, {'name': 'MemoryPreservingMaintenanceSupported', 'value': 'True'}, {'name': 'HyperVGenerations', 'value': 'V1'}, {'name': 'MemoryGB', 'value': '2'}, {'name': 'MaxDataDiskCount', 'value': '2'}, {'name': 'CpuArchitectureType', 'value': 'x64'}, {'name': 'LowPriorityCapable', 'value': 'True'}, {'name': 'PremiumIO', 'value': 'False'}, {'name': 'VMDeploymentTypes', 'value': 'IaaS,PaaS'}, {'name': 'vCPUsAvailable', 'value': '1'}, {'name': 'ACUs', 'value': '100'}, {'name': 'vCPUsPerCore', 'value': '1'}, {'name': 'CombinedTempDiskAndCachedIOPS', 'value': '1000'}, {'name': 'CombinedTempDiskAndCachedReadBytesPerSecond', 'value': '20971520'}, {'name': 'CombinedTempDiskAndCachedWriteBytesPerSecond', 'value': '10485760'}, {'name': 'EphemeralOSDiskSupported', 'value': 'False'}, {'name': 'EncryptionAtHostSupported', 'value': 'False'}, {'name': 'CapacityReservationSupported', 'value': 'True'}, {'name': 'AcceleratedNetworkingEnabled', 'value': 'False'}, {'name': 'RdmaEnabled', 'value': 'False'}, {'name': 'MaxNetworkInterfaces', 'value': '2'}]",,,standardAv2Family,,"[{'location': 'westus', 'zoneDetails': [], 'zones': []}]",['westus'],Standard_A1_v2,virtualMachines,[],A1_v2,Standard,westus,0.043,0.009482,,,2,
,"[{'name': 'MaxResourceVolumeMB', 'value': '10240'}, {'name': 'OSVhdSizeMB', 'value': '1047552'}, {'name': 'vCPUs', 'value': '1'}, {'name': 'MemoryPreservingMaintenanceSupported', 'value': 'True'}, {'name': 'HyperVGenerations', 'value': 'V1'}, {'name': 'MemoryGB', 'value': '2'}, {'name': 'MaxDataDiskCount', 'value': '2'}, {'name': 'CpuArchitectureType', 'value': 'x64'}, {'name': 'LowPriorityCapable', 'value': 'True'}, {'name': 'PremiumIO', 'value': 'False'}, {'name': 'VMDeploymentTypes', 'value': 'IaaS,PaaS'}, {'name': 'vCPUsAvailable', 'value': '1'}, {'name': 'ACUs', 'value': '100'}, {'name': 'vCPUsPerCore', 'value': '1'}, {'name': 'CombinedTempDiskAndCachedIOPS', 'value': '1000'}, {'name': 'CombinedTempDiskAndCachedReadBytesPerSecond', 'value': '20971520'}, {'name': 'CombinedTempDiskAndCachedWriteBytesPerSecond', 'value': '10485760'}, {'name': 'EphemeralOSDiskSupported', 'value': 'False'}, {'name': 'EncryptionAtHostSupported', 'value': 'False'}, {'name': 'CapacityReservationSupported', 'value': 'True'}, {'name': 'AcceleratedNetworkingEnabled', 'value': 'False'}, {'name': 'RdmaEnabled', 'value': 'False'}, {'name': 'MaxNetworkInterfaces', 'value': '2'}]",,,standardAv2Family,,"[{'location': 'westus2', 'zoneDetails': [], 'zones': ['1', '3', '2']}]",['westus2'],Standard_A1_v2,virtualMachines,[],A1_v2,Standard,westus2,0.036,0.010566,,,2,
,"[{'name': 'MaxResourceVolumeMB', 'value': '138240'}, {'name': 'OSVhdSizeMB', 'value': '1047552'}, {'name': 'vCPUs', 'value': '2'}, {'name': 'MemoryPreservingMaintenanceSupported', 'value': 'True'}, {'name': 'HyperVGenerations', 'value': 'V1'}, {'name': 'MemoryGB', 'value': '3.5'}, {'name': 'MaxDataDiskCount', 'value': '4'}, {'name': 'CpuArchitectureType', 'value': 'x64'}, {'name': 'LowPriorityCapable', 'value': 'True'}, {'name': 'PremiumIO', 'value': 'False'}, {'name': 'VMDeploymentTypes', 'value': 'IaaS,PaaS'}, {'name': 'vCPUsAvailable', 'value': '2'}, {'name': 'ACUs', 'value': '100'}, {'name': 'vCPUsPerCore', 'value': '1'}, {'name': 'EphemeralOSDiskSupported', 'value': 'False'}, {'name': 'EncryptionAtHostSupported', 'value': 'False'}, {'name': 'CapacityReservationSupported', 'value': 'False'}, {'name': 'AcceleratedNetworkingEnabled', 'value': 'False'}, {'name': 'RdmaEnabled', 'value': 'False'}, {'name': 'MaxNetworkInterfaces', 'value': '2'}]",,,standardA0_A7Family,,"[{'location': 'northcentralus', 'zoneDetails': [], 'zones': []}]",['northcentralus'],Standard_A2,virtualMachines,[],A2,Standard,northcentralus,0.12,0.0252,,,3.5,
,"[{'name': 'MaxResourceVolumeMB', 'value': '138240'}, {'name': 'OSVhdSizeMB', 'value': '1047552'}, {'name': 'vCPUs', 'value': '2'}, {'name': 'MemoryPreservingMaintenanceSupported', 'value': 'True'}, {'name': 'HyperVGenerations', 'value': 'V1'}, {'name': 'MemoryGB', 'value': '3.5'}, {'name': 'MaxDataDiskCount', 'value': '4'}, {'name': 'CpuArchitectureType', 'value': 'x64'}, {'name': 'LowPriorityCapable', 'value': 'True'}, {'name': 'PremiumIO', 'value': 'False'}, {'name': 'VMDeploymentTypes', 'value': 'IaaS,PaaS'}, {'name': 'vCPUsAvailable', 'value': '2'}, {'name': 'ACUs', 'value': '100'}, {'name': 'vCPUsPerCore', 'value': '1'}, {'name': 'EphemeralOSDiskSupported', 'value': 'False'}, {'name': 'EncryptionAtHostSupported', 'value': 'False'}, {'name': 'CapacityReservationSupported', 'value': 'False'}, {'name': 'AcceleratedNetworkingEnabled', 'value': 'False'}, {'name': 'RdmaEnabled', 'value': 'False'}, {'name': 'MaxNetworkInterfaces', 'value': '2'}]",,,standardA0_A7Family,,"[{'location': 'westus', 'zoneDetails': [], 'zones': []}]",['westus'],Standard_A2,virtualMachines,[],A2,Standard,westus,0.12,0.0252,,,3.5,
,"[{'name': 'MaxResourceVolumeMB', 'value': '20480'}, {'name': 'OSVhdSizeMB', 'value': '1047552'}, {'name': 'vCPUs', 'value': '2'}, {'name': 'MemoryPreservingMaintenanceSupported', 'value': 'True'}, {'name': 'HyperVGenerations', 'value': 'V1'}, {'name': 'MemoryGB', 'value': '16'}, {'name': 'MaxDataDiskCount', 'value': '4'}, {'name': 'CpuArchitectureType', 'value': 'x64'}, {'name': 'LowPriorityCapable', 'value': 'True'}, {'name': 'PremiumIO', 'value': 'False'}, {'name': 'VMDeploymentTypes', 'value': 'IaaS,PaaS'}, {'name': 'vCPUsAvailable', 'value': '2'}, {'name': 'ACUs', 'value': '100'}, {'name': 'vCPUsPerCore', 'value': '1'}, {'name': 'CombinedTempDiskAndCachedIOPS', 'value': '2000'}, {'name': 'CombinedTempDiskAndCachedReadBytesPerSecond', 'value': '41943040'}, {'name': 'CombinedTempDiskAndCachedWriteBytesPerSecond', 'value': '20971520'}, {'name': 'EphemeralOSDiskSupported', 'value': 'False'}, {'name': 'EncryptionAtHostSupported', 'value': 'False'}, {'name': 'CapacityReservationSupported', 'value': 'True'}, {'name': 'AcceleratedNetworkingEnabled', 'value': 'False'}, {'name': 'RdmaEnabled', 'value': 'False'}, {'name': 'MaxNetworkInterfaces', 'value': '2'}]",,,standardAv2Family,,"[{'location': 'centralus', 'zoneDetails': [], 'zones': ['1', '3', '2']}]",['centralus'],Standard_A2m_v2,virtualMachines,[],A2m_v2,Standard,centralus,0.129,0.029864,,,16,
,"[{'name': 'MaxResourceVolumeMB', 'value': '20480'}, {'name': 'OSVhdSizeMB', 'value': '1047552'}, {'name': 'vCPUs', 'value': '2'}, {'name': 'MemoryPreservingMaintenanceSupported', 'value': 'True'}, {'name': 'HyperVGenerations', 'value': 'V1'}, {'name': 'MemoryGB', 'value': '16'}, {'name': 'MaxDataDiskCount', 'value': '4'}, {'name': 'CpuArchitectureType', 'value': 'x64'}, {'name': 'LowPriorityCapable', 'value': 'True'}, {'name': 'PremiumIO', 'value': 'False'}, {'name': 'VMDeploymentTypes', 'value': 'IaaS,PaaS'}, {'name': 'vCPUsAvailable', 'value': '2'}, {'name': 'ACUs', 'value': '100'}, {'name': 'vCPUsPerCore', 'value': '1'}, {'name': 'CombinedTempDiskAndCachedIOPS', 'value': '2000'}, {'name': 'CombinedTempDiskAndCachedReadBytesPerSecond', 'value': '41943040'}, {'name': 'CombinedTempDiskAndCachedWriteBytesPerSecond', 'value': '20971520'}, {'name': 'EphemeralOSDiskSupported', 'value': 'False'}, {'name': 'EncryptionAtHostSupported', 'value': 'False'}, {'name': 'CapacityReservationSupported', 'value': 'True'}, {'name': 'AcceleratedNetworkingEnabled', 'value': 'False'}, {'name': 'RdmaEnabled', 'value': 'False'}, {'name': 'MaxNetworkInterfaces', 'value': '2'}]",,,standardAv2Family,,"[{'location': 'eastus', 'zoneDetails': [], 'zones': ['3', '1', '2']}]",['eastus'],Standard_A2m_v2,virtualMachines,[],A2m_v2,Standard,eastus,0.119,0.032666,,,16,
,"[{'name': 'MaxResourceVolumeMB', 'value': '20480'}, {'name': 'OSVhdSizeMB', 'value': '1047552'}, {'name': 'vCPUs', 'value': '2'}, {'name': 'MemoryPreservingMaintenanceSupported', 'value': 'True'}, {'name': 'HyperVGenerations', 'value': 'V1'}, {'name': 'MemoryGB', 'value': '16'}, {'name': 'MaxDataDiskCount', 'value': '4'}, {'name': 'CpuArchitectureType', 'value': 'x64'}, {'name': 'LowPriorityCapable', 'value': 'True'}, {'name': 'PremiumIO', 'value': 'False'}, {'name': 'VMDeploymentTypes', 'value': 'IaaS,PaaS'}, {'name': 'vCPUsAvailable', 'value': '2'}, {'name': 'ACUs', 'value': '100'}, {'name': 'vCPUsPerCore', 'value': '1'}, {'name': 'CombinedTempDiskAndCachedIOPS', 'value': '2000'}, {'name': 'CombinedTempDiskAndCachedReadBytesPerSecond', 'value': '41943040'}, {'name': 'CombinedTempDiskAndCachedWriteBytesPerSecond', 'value': '20971520'}, {'name': 'EphemeralOSDiskSupported', 'value': 'False'}, {'name': 'EncryptionAtHostSupported', 'value': 'False'}, {'name': 'CapacityReservationSupported', 'value': 'True'}, {'name': 'AcceleratedNetworkingEnabled', 'value': 'False'}, {'name': 'RdmaEnabled', 'value': 'False'}, {'name': 'MaxNetworkInterfaces', 'value': '2'}]",,,standardAv2Family,,"[{'location': 'eastus2', 'zoneDetails': [], 'zones': ['1', '2', '3']}]",['eastus2'],Standard_A2m_v2,virtualMachines,[],A2m_v2,Standard,eastus2,0.119,0.027548,,,16,
,"[{'name': 'MaxResourceVolumeMB', 'value': '20480'}, {'name': 'OSVhdSizeMB', 'value': '1047552'}, {'name': 'vCPUs', 'value': '2'}, {'name': 'MemoryPreservingMaintenanceSupported', 'value': 'True'}, {'name': 'HyperVGenerations', 'value': 'V1'}, {'name': 'MemoryGB', 'value': '16'}, {'name': 'MaxDataDiskCount', 'value': '4'}, {'name': 'CpuArchitectureType', 'value': 'x64'}, {'name': 'LowPriorityCapable', 'value': 'True'}, {'name': 'PremiumIO', 'value': 'False'}, {'name': 'VMDeploymentTypes', 'value': 'IaaS,PaaS'}, {'name': 'vCPUsAvailable', 'value': '2'}, {'name': 'ACUs', 'value': '100'}, {'name': 'vCPUsPerCore', 'value': '1'}, {'name': 'CombinedTempDiskAndCachedIOPS', 'value': '2000'}, {'name': 'CombinedTempDiskAndCachedReadBytesPerSecond', 'value': '41943040'}, {'name': 'CombinedTempDiskAndCachedWriteBytesPerSecond', 'value': '20971520'}, {'name': 'EphemeralOSDiskSupported', 'value': 'False'}, {'name': 'EncryptionAtHostSupported', 'value': 'False'}, {'name': 'CapacityReservationSupported', 'value': 'True'}, {'name': 'AcceleratedNetworkingEnabled', 'value': 'False'}, {'name': 'RdmaEnabled', 'value': 'False'}, {'name': 'MaxNetworkInterfaces', 'value': '2'}]",,,standardAv2Family,,"[{'location': 'northcentralus', 'zoneDetails': [], 'zones': []}]",['northcentralus'],Standard_A2m_v2,virtualMachines,[],A2m_v2,Standard,northcentralus,0.129,0.02709,,,16,
,"[{'name': 'MaxResourceVolumeMB', 'value': '20480'}, {'name': 'OSVhdSizeMB', 'value': '1047552'}, {'name': 'vCPUs', 'value': '2'}, {'name': 'MemoryPreservingMaintenanceSupported', 'value': 'True'}, {'name': 'HyperVGenerations', 'value': 'V1'}, {'name': 'MemoryGB', 'value': '16'}, {'name': 'MaxDataDiskCount', 'value': '4'}, {'name': 'CpuArchitectureType', 'value': 'x64'}, {'name': 'LowPriorityCapable', 'value': 'True'}, {'name': 'PremiumIO', 'value': 'False'}, {'name': 'VMDeploymentTypes', 'value': 'IaaS,PaaS'}, {'name': 'vCPUsAvailable', 'value': '2'}, {'name': 'ACUs', 'value': '100'}, {'name': 'vCPUsPerCore', 'value': '1'}, {'name': 'CombinedTempDiskAndCachedIOPS', 'value': '2000'}, {'name': 'CombinedTempDiskAndCachedReadBytesPerSecond', 'value': '41943040'}, {'name': 'CombinedTempDiskAndCachedWriteBytesPerSecond', 'value': '20971520'}, {'name': 'EphemeralOSDiskSupported', 'value': 'False'}, {'name': 'EncryptionAtHostSupported', 'value': 'False'}, {'name': 'CapacityReservationSupported', 'value': 'True'}, {'name': 'AcceleratedNetworkingEnabled', 'value': 'False'}, {'name': 'RdmaEnabled', 'value': 'False'}, {'name': 'MaxNetworkInterfaces', 'value': '2'}]",,,standardAv2Family,,"[{'location': 'southcentralus', 'zoneDetails': [], 'zones': ['2', '1', '3']}]",['southcentralus'],Standard_A2m_v2,virtualMachines,[],A2m_v2,Standard,southcentralus,0.124,0.031744,,,16,
,"[{'name': 'MaxResourceVolumeMB', 'value': '20480'}, {'name': 'OSVhdSizeMB', 'value': '1047552'}, {'name': 'vCPUs', 'value': '2'}, {'name': 'MemoryPreservingMaintenanceSupported', 'value': 'True'}, {'name': 'HyperVGenerations', 'value': 'V1'}, {'name': 'MemoryGB', 'value': '16'}, {'name': 'MaxDataDiskCount', 'value': '4'}, {'name': 'CpuArchitectureType', 'value': 'x64'}, {'name': 'LowPriorityCapable', 'value': 'True'}, {'name': 'PremiumIO', 'value': 'False'}, {'name': 'VMDeploymentTypes', 'value': 'IaaS,PaaS'}, {'name': 'vCPUsAvailable', 'value': '2'}, {'name': 'ACUs', 'value': '100'}, {'name': 'vCPUsPerCore', 'value': '1'}, {'name': 'CombinedTempDiskAndCachedIOPS', 'value': '2000'}, {'name': 'CombinedTempDiskAndCachedReadBytesPerSecond', 'value': '41943040'}, {'name': 'CombinedTempDiskAndCachedWriteBytesPerSecond', 'value': '20971520'}, {'name': 'EphemeralOSDiskSupported', 'value': 'False'}, {'name': 'EncryptionAtHostSupported', 'value': 'False'}, {'name': 'CapacityReservationSupported', 'value': 'True'}, {'name': 'AcceleratedNetworkingEnabled', 'value': 'False'}, {'name': 'RdmaEnabled', 'value': 'False'}, {'name': 'MaxNetworkInterfaces', 'value': '2'}]",,,standardAv2Family,,"[{'location': 'westcentralus', 'zoneDetails': [], 'zones': []}]",['westcentralus'],Standard_A2m_v2,virtualMachines,[],A2m_v2,Standard,westcentralus,0.119,0.02499,,,16,
,"[{'name': 'MaxResourceVolumeMB', 'value': '20480'}, {'name': 'OSVhdSizeMB', 'value': '1047552'}, {'name': 'vCPUs', 'value': '2'}, {'name': 'MemoryPreservingMaintenanceSupported', 'value': 'True'}, {'name': 'HyperVGenerations', 'value': 'V1'}, {'name': 'MemoryGB', 'value': '16'}, {'name': 'MaxDataDiskCount', 'value': '4'}, {'name': 'CpuArchitectureType', 'value': 'x64'}, {'name': 'LowPriorityCapable', 'value': 'True'}, {'name': 'PremiumIO', 'value': 'False'}, {'name': 'VMDeploymentTypes', 'value': 'IaaS,PaaS'}, {'name': 'vCPUsAvailable', 'value': '2'}, {'name': 'ACUs', 'value': '100'}, {'name': 'vCPUsPerCore', 'value': '1'}, {'name': 'CombinedTempDiskAndCachedIOPS', 'value': '2000'}, {'name': 'CombinedTempDiskAndCachedReadBytesPerSecond', 'value': '41943040'}, {'name': 'CombinedTempDiskAndCachedWriteBytesPerSecond', 'value': '20971520'}, {'name': 'EphemeralOSDiskSupported', 'value': 'False'}, {'name': 'EncryptionAtHostSupported', 'value': 'False'}, {'name': 'CapacityReservationSupported', 'value': 'True'}, {'name': 'AcceleratedNetworkingEnabled', 'value': 'False'}, {'name': 'RdmaEnabled', 'value': 'False'}, {'name': 'MaxNetworkInterfaces', 'value': '2'}]",,,standardAv2Family,,"[{'location': 'westus', 'zoneDetails': [], 'zones': []}]",['westus'],Standard_A2m_v2,virtualMachines,[],A2m_v2,Standard,westus,0.149,0.032854,,,16,
,"[{'name': 'MaxResourceVolumeMB', 'value': '20480'}, {'name': 'OSVhdSizeMB', 'value': '1047552'}, {'name': 'vCPUs', 'value': '2'}, {'name': 'MemoryPreservingMaintenanceSupported', 'value': 'True'}, {'name': 'HyperVGenerations', 'value': 'V1'}, {'name': 'MemoryGB', 'value': '16'}, {'name': 'MaxDataDiskCount', 'value': '4'}, {'name': 'CpuArchitectureType', 'value': 'x64'}, {'name': 'LowPriorityCapable', 'value': 'True'}, {'name': 'PremiumIO', 'value': 'False'}, {'name': 'VMDeploymentTypes', 'value': 'IaaS,PaaS'}, {'name': 'vCPUsAvailable', 'value': '2'}, {'name': 'ACUs', 'value': '100'}, {'name': 'vCPUsPerCore', 'value': '1'}, {'name': 'CombinedTempDiskAndCachedIOPS', 'value': '2000'}, {'name': 'CombinedTempDiskAndCachedReadBytesPerSecond', 'value': '41943040'}, {'name': 'CombinedTempDiskAndCachedWriteBytesPerSecond', 'value': '20971520'}, {'name': 'EphemeralOSDiskSupported', 'value': 'False'}, {'name': 'EncryptionAtHostSupported', 'value': 'False'}, {'name': 'CapacityReservationSupported', 'value': 'True'}, {'name': 'AcceleratedNetworkingEnabled', 'value': 'False'}, {'name': 'RdmaEnabled', 'value': 'False'}, {'name': 'MaxNetworkInterfaces', 'value': '2'}]",,,standardAv2Family,,"[{'location': 'westus2', 'zoneDetails': [], 'zones': ['1', '3', '2']}]",['westus2'],Standard_A2m_v2,virtualMachines,[],A2m_v2,Standard,westus2,0.099,0.029056,,,16,
,"[{'name': 'MaxResourceVolumeMB', 'value': '20480'}, {'name': 'OSVhdSizeMB', 'value': '1047552'}, {'name': 'vCPUs', 'value': '2'}, {'name': 'MemoryPreservingMaintenanceSupported', 'value': 'True'}, {'name': 'HyperVGenerations', 'value': 'V1'}, {'name': 'MemoryGB', 'value': '4'}, {'name': 'MaxDataDiskCount', 'value': '4'}, {'name': 'CpuArchitectureType', 'value': 'x64'}, {'name': 'LowPriorityCapable', 'value': 'True'}, {'name': 'PremiumIO', 'value': 'False'}, {'name': 'VMDeploymentTypes', 'value': 'IaaS,PaaS'}, {'name': 'vCPUsAvailable', 'value': '2'}, {'name': 'ACUs', 'value': '100'}, {'name': 'vCPUsPerCore', 'value': '1'}, {'name': 'CombinedTempDiskAndCachedIOPS', 'value': '2000'}, {'name': 'CombinedTempDiskAndCachedReadBytesPerSecond', 'value': '41943040'}, {'name': 'CombinedTempDiskAndCachedWriteBytesPerSecond', 'value': '20971520'}, {'name': 'EphemeralOSDiskSupported', 'value': 'False'}, {'name': 'EncryptionAtHostSupported', 'value': 'False'}, {'name': 'CapacityReservationSupported', 'value': 'True'}, {'name': 'AcceleratedNetworkingEnabled', 'value': 'False'}, {'name': 'RdmaEnabled', 'value': 'False'}, {'name': 'MaxNetworkInterfaces', 'value': '2'}]",,,standardAv2Family,,"[{'location': 'centralus', 'zoneDetails': [], 'zones': ['1', '3', '2']}]",['centralus'],Standard_A2_v2,virtualMachines,[],A2_v2,Standard,centralus,0.091,0.021066,,,4,
,"[{'name': 'MaxResourceVolumeMB', 'value': '20480'}, {'name': 'OSVhdSizeMB', 'value': '1047552'}, {'name': 'vCPUs', 'value': '2'}, {'name': 'MemoryPreservingMaintenanceSupported', 'value': 'True'}, {'name': 'HyperVGenerations', 'value': 'V1'}, {'name': 'MemoryGB', 'value': '4'}, {'name': 'MaxDataDiskCount', 'value': '4'}, {'name': 'CpuArchitectureType', 'value': 'x64'}, {'name': 'LowPriorityCapable', 'value': 'True'}, {'name': 'PremiumIO', 'value': 'False'}, {'name': 'VMDeploymentTypes', 'value': 'IaaS,PaaS'}, {'name': 'vCPUsAvailable', 'value': '2'}, {'name': 'ACUs', 'value': '100'}, {'name': 'vCPUsPerCore', 'value': '1'}, {'name': 'CombinedTempDiskAndCachedIOPS', 'value': '2000'}, {'name': 'CombinedTempDiskAndCachedReadBytesPerSecond', 'value': '41943040'}, {'name': 'CombinedTempDiskAndCachedWriteBytesPerSecond', 'value': '20971520'}, {'name': 'EphemeralOSDiskSupported', 'value': 'False'}, {'name': 'EncryptionAtHostSupported', 'value': 'False'}, {'name': 'CapacityReservationSupported', 'value': 'True'}, {'name': 'AcceleratedNetworkingEnabled', 'value': 'False'}, {'name': 'RdmaEnabled', 'value': 'False'}, {'name': 'MaxNetworkInterfaces', 'value': '2'}]",,,standardAv2Family,,"[{'location': 'eastus', 'zoneDetails': [], 'zones': ['3', '1', '2']}]",['eastus'],Standard_A2_v2,virtualMachines,[],A2_v2,Standard,eastus,0.091,0.02498,,,4,
,"[{'name': 'MaxResourceVolumeMB', 'value': '20480'}, {'name': 'OSVhdSizeMB', 'value': '1047552'}, {'name': 'vCPUs', 'value': '2'}, {'name': 'MemoryPreservingMaintenanceSupported', 'value': 'True'}, {'name': 'HyperVGenerations', 'value': 'V1'}, {'name': 'MemoryGB', 'value': '4'}, {'name': 'MaxDataDiskCount', 'value': '4'}, {'name': 'CpuArchitectureType', 'value': 'x64'}, {'name': 'LowPriorityCapable', 'value': 'True'}, {'name': 'PremiumIO', 'value': 'False'}, {'name': 'VMDeploymentTypes', 'value': 'IaaS,PaaS'}, {'name': 'vCPUsAvailable', 'value': '2'}, {'name': 'ACUs', 'value': '100'}, {'name': 'vCPUsPerCore', 'value': '1'}, {'name': 'CombinedTempDiskAndCachedIOPS', 'value': '2000'}, {'name': 'CombinedTempDiskAndCachedReadBytesPerSecond', 'value': '41943040'}, {'name': 'CombinedTempDiskAndCachedWriteBytesPerSecond', 'value': '20971520'}, {'name': 'EphemeralOSDiskSupported', 'value': 'False'}, {'name': 'EncryptionAtHostSupported', 'value': 'False'}, {'name': 'CapacityReservationSupported', 'value': 'True'}, {'name': 'AcceleratedNetworkingEnabled', 'value': 'False'}, {'name': 'RdmaEnabled', 'value': 'False'}, {'name': 'MaxNetworkInterfaces', 'value': '2'}]",,,standardAv2Family,,"[{'location': 'eastus2', 'zoneDetails': [], 'zones': ['1', '2', '3']}]",['eastus2'],Standard_A2_v2,virtualMachines,[],A2_v2,Standard,eastus2,0.091,0.021066,,,4,
,"[{'name': 'MaxResourceVolumeMB', 'value': '20480'}, {'name': 'OSVhdSizeMB', 'value': '1047552'}, {'name': 'vCPUs', 'value': '2'}, {'name': 'MemoryPreservingMaintenanceSupported', 'value': 'True'}, {'name': 'HyperVGenerations', 'value': 'V1'}, {'name': 'MemoryGB', 'value': '4'}, {'name': 'MaxDataDiskCount', 'value': '4'}, {'name': 'CpuArchitectureType', 'value': 'x64'}, {'name': 'LowPriorityCapable', 'value': 'True'}, {'name': 'PremiumIO', 'value': 'False'}, {'name': 'VMDeploymentTypes', 'value': 'IaaS,PaaS'}, {'name': 'vCPUsAvailable', 'value': '2'}, {'name': 'ACUs', 'value': '100'}, {'name': 'vCPUsPerCore', 'value': '1'}, {'name': 'CombinedTempDiskAndCachedIOPS', 'value': '2000'}, {'name': 'CombinedTempDiskAndCachedReadBytesPerSecond', 'value': '41943040'}, {'name': 'CombinedTempDiskAndCachedWriteBytesPerSecond', 'value': '20971520'}, {'name': 'EphemeralOSDiskSupported', 'value': 'False'}, {'name': 'EncryptionAtHostSupported', 'value': 'False'}, {'name': 'CapacityReservationSupported', 'value': 'True'}, {'name': 'AcceleratedNetworkingEnabled', 'value': 'False'}, {'name': 'RdmaEnabled', 'value': 'False'}, {'name': 'MaxNetworkInterfaces', 'value': '2'}]",,,standardAv2Family,,"[{'location': 'northcentralus', 'zoneDetails': [], 'zones': []}]",['northcentralus'],Standard_A2_v2,virtualMachines,[],A2_v2,Standard,northcentralus,0.091,0.01911,,,4,
